성별,연령대,인구,인구비중(%),표본
남성,20대,2950528,6.7782,678
남성,30대,3492809,8.0239,802
남성,40대,3859751,8.8669,887
남성,50대,4354771,10.0041,1000
남성,60대,3907041,8.9756,898
남성,70세 이상,2979252,6.8442,685
여성,20대,2731714,6.2755,628
여성,30대,3183648,7.3137,731
여성,40대,3722461,8.5515,855
여성,50대,4279301,9.8307,983
여성,60대,4015237,9.2241,922
여성,70세 이상,4053299,9.3115,931
