성별,연령대,인구,인구비중(%),표본
남성,14-19세,1434666,3.0972,310
남성,20대,2950528,6.3697,637
남성,30대,3492809,7.5404,754
남성,40대,3859751,8.3325,833
남성,50대,4354771,9.4012,940
남성,60대,3907041,8.4346,843
남성,70세 이상,2979252,6.4317,643
여성,14-19세,1356911,2.9293,293
여성,20대,2731714,5.8973,590
여성,30대,3183648,6.873,687
여성,40대,3722461,8.0362,804
여성,50대,4279301,9.2383,924
여성,60대,4015237,8.6682,867
여성,70세 이상,4053299,8.7504,875
